源文件: 05印光法师文钞三编上册--白话20250307.docx
总段落: 17163  Heading1: 471
分部标记: ['卷一 · 书一', '卷一 · 书一', '卷二 · 书二']
366 复赵莲洲居士书                    对  4 原0 白0 注0  [卷二 · 书二]
367 复江有朋居士书                    对  4 原0 白0 注0  [卷二 · 书二]
368 复陶德乾居士书                    对  6 原1 白0 注1  [卷二 · 书二]
369 复易思厚居士书                    对 27 原1 白0 注5  [卷二 · 书二]
370 复智章居士书                     对  6 原1 白0 注1  [卷二 · 书二]
371 复李慧实居士书一                   对  7 原1 白0 注1  [卷二 · 书二]
372 复李慧实居士书二                   对 11 原0 白0 注0  [卷二 · 书二]
373 复李慧实居士书三                   对  5 原0 白0 注0  [卷二 · 书二]
374 复王诚中居士书                    对 14 原1 白0 注1  [卷二 · 书二]
375 复卓智立居士书一                   对 30 原1 白0 注11  [卷二 · 书二]
376 复卓智立居士书二                   对  4 原1 白0 注3  [卷二 · 书二]
377 复卓智立居士书三                   对 62 原1 白0 注2  [卷二 · 书二]
378 复卓智立居士书四                   对 27 原1 白0 注5  [卷二 · 书二]
379 复愚僧居士书                     对  9 原0 白0 注0  [卷二 · 书二]
380 复周智茂居士书一                   对  8 原0 白0 注0  [卷二 · 书二]
381 复周智茂居士书二                   对  3 原1 白0 注2  [卷二 · 书二]
382 复周智茂居士书三                   对 14 原1 白0 注4  [卷二 · 书二]
383 复周智茂居士书四                   对  3 原1 白0 注1  [卷二 · 书二]
384 复师康居士书                     对 14 原1 白0 注2  [卷二 · 书二]
385 复周寿超居士书                    对  9 原1 白0 注1  [卷二 · 书二]
386 复东舍西客书                     对  5 原0 白0 注0  [卷二 · 书二]
387 复叶沚芬居士书一                   对 14 原1 白1 注6  [卷二 · 书二]
388 复叶沚芬居士书二                   对  9 原0 白0 注0  [卷二 · 书二]
389 复王修本居士书                    对  4 原1 白0 注1  [卷二 · 书二]
390 复陈莲英女居士书                   对 17 原1 白0 注1  [卷二 · 书二]
391 复沈授人居士书                    对 13 原1 白0 注3  [卷二 · 书二]
392 复龙澄徹居士书                    对 15 原1 白0 注7  [卷二 · 书二]
393 复方圣照居士书一                   对  4 原1 白0 注2  [卷二 · 书二]
394 复方圣照居士书二                   对  5 原0 白0 注0  [卷二 · 书二]
395 复方圣照居士书三                   对  5 原1 白0 注1  [卷二 · 书二]
396 复方圣照居士书四                   对  5 原0 白0 注0  [卷二 · 书二]
397 复方圣照居士书五                   对  5 原0 白0 注0  [卷二 · 书二]
398 复方圣照居士书六                   对  7 原1 白0 注2  [卷二 · 书二]
399 复方圣照居士书七                   对  4 原1 白1 注4  [卷二 · 书二]
400 复方圣照居士书八                   对  2 原0 白0 注0  [卷二 · 书二]
401 复方圣照居士书九                   对  9 原1 白0 注4  [卷二 · 书二]
402 复蔡契诚居士书一                   对  8 原1 白0 注1  [卷二 · 书二]
403 复蔡契诚居士书二                   对 19 原1 白0 注8  [卷二 · 书二]
404 复蔡契诚居士书三                   对  3 原1 白0 注1  [卷二 · 书二]
405 复蔡契诚居士书四                   对 13 原0 白0 注0  [卷二 · 书二]
406 复蔡契诚居士书五                   对 12 原1 白0 注5  [卷二 · 书二]
407 复蔡契诚居士书六                   对 12 原1 白0 注13  [卷二 · 书二]
408 复蔡契诚居士书七                   对  6 原0 白0 注0  [卷二 · 书二]
409 复蔡契诚居士书八                   对 13 原1 白0 注1  [卷二 · 书二]
410 复蔡契诚居士书九                   对  9 原0 白0 注0  [卷二 · 书二]
411 复顾德谷居士书                    对  7 原0 白0 注0  [卷二 · 书二]
412 复金振卿居士书                    对 15 原1 白0 注8  [卷二 · 书二]
413 复邵慧圆居士书一                   对 54 原1 白0 注15  [卷二 · 书二]
414 复邵慧圆居士书二                   对  6 原1 白0 注1  [卷二 · 书二]
415 复邵慧圆居士书三                   对  5 原1 白0 注2  [卷二 · 书二]
416 复邵慧圆居士书四                   对  4 原0 白0 注0  [卷二 · 书二]
417 复邵慧圆居士书五                   对  7 原1 白0 注2  [卷二 · 书二]
418 复邬崇音居士书                    对  9 原1 白0 注3  [卷二 · 书二]
419 复张觉明女居士书一                  对  4 原1 白0 注1  [卷二 · 书二]
420 复张觉明女居士书二                  对  1 原0 白0 注0  [卷二 · 书二]
421 复张觉明女居士书三                  对  4 原0 白0 注0  [卷二 · 书二]
422 复张觉明女居士书四                  对  1 原1 白0 注1  [卷二 · 书二]
423 复张觉明女居士书五                  对  1 原1 白0 注1  [卷二 · 书二]
424 复张觉明女居士书六                  对  1 原1 白0 注2  [卷二 · 书二]
425 复张觉明女居士书七                  对  6 原0 白0 注0  [卷二 · 书二]
426 复张觉明女居士书八                  对 16 原1 白0 注3  [卷二 · 书二]
427 复张觉明女居士书九                  对  9 原0 白0 注0  [卷二 · 书二]
428 与张觉明女居士书十                  对  9 原0 白0 注0  [卷二 · 书二]
429 复张觉明女居士书十一                 对  5 原0 白0 注0  [卷二 · 书二]
430 复龚宗元居士书一                   对  7 原0 白0 注0  [卷二 · 书二]
431 复龚宗元居士书二                   对  6 原0 白0 注0  [卷二 · 书二]
432 复龚宗元居士书三                   对 13 原1 白0 注1  [卷二 · 书二]
433 复王慧常居士书一                   对  5 原1 白0 注1  [卷二 · 书二]
434 复王慧常居士书二                   对  2 原0 白0 注0  [卷二 · 书二]
435 复杨慧明居士书                    对  4 原1 白0 注2  [卷二 · 书二]
436 复杨典臣居士书一                   对  9 原1 白0 注2  [卷二 · 书二]
437 复杨典臣居士书二                   对  5 原0 白0 注0  [卷二 · 书二]
438 复严德彬居士书一                   对  3 原1 白0 注1  [卷二 · 书二]
439 复严德彬居士书二                   对  7 原0 白0 注0  [卷二 · 书二]
440 复王子立居士书一                   对  4 原1 白0 注1  [卷二 · 书二]
441 复王子立居士书二                   对  6 原1 白0 注8  [卷二 · 书二]
442 复王子立居士书三                   对  8 原1 白0 注4  [卷二 · 书二]
443 复叶福备居士书一                   对 13 原0 白0 注0  [卷二 · 书二]
444 复叶福备居士书二                   对  8 原0 白0 注0  [卷二 · 书二]
445 复叶聘臣居士书                    对 19 原1 白0 注1  [卷二 · 书二]
446 复郝智熹居士书                    对 16 原1 白0 注2  [卷二 · 书二]
447 复刘元仁居士书                    对  6 原0 白0 注0  [卷二 · 书二]
448 复吴桂秋居士书                    对  5 原0 白0 注0  [卷二 · 书二]
449 复施智孚居士书                    对  4 原0 白0 注0  [卷二 · 书二]
450 复蒋净信居士书                    对  7 原1 白0 注1  [卷二 · 书二]
451 复唐瑞岩居士书一                   对  3 原0 白0 注0  [卷二 · 书二]
452 复唐瑞岩居士书二                   对  5 原0 白0 注0  [卷二 · 书二]
453 复唐瑞岩居士书三                   对 11 原0 白0 注0  [卷二 · 书二]
454 复唐陶镕居士书                    对 15 原0 白0 注0  [卷二 · 书二]
455 复志梵居士书一                    对  8 原1 白0 注4  [卷二 · 书二]
456 复志梵居士书二                    对 10 原1 白0 注2  [卷二 · 书二]
457 复志梵居士书三                    对 19 原1 白0 注2  [卷二 · 书二]
458 复志梵居士书四                    对  9 原1 白0 注3  [卷二 · 书二]
459 复郁智朗居士书                    对 11 原1 白0 注3  [卷二 · 书二]
460 复（韩宗明，张宗善）二居士书             对 13 原0 白0 注0  [卷二 · 书二]
461 复永业居士书                     对  6 原1 白0 注1  [卷二 · 书二]
462 复石金华居士书                    对 10 原0 白0 注0  [卷二 · 书二]
463 复王悟尘居士书一                   对 13 原1 白0 注1  [卷二 · 书二]
464 复王悟尘居士书二                   对  9 原0 白0 注0  [卷二 · 书二]
465 复王悟尘居士书三                   对  7 原0 白0 注0  [卷二 · 书二]
466 复王悟尘居士书四                   对  1 原0 白0 注0  [卷二 · 书二]
467 复陆治平居士书                    对  2 原0 白0 注0  [卷二 · 书二]
468 复费师敏居士书                    对  5 原0 白0 注0  [卷二 · 书二]
469 复化凡居士书                     对 23 原0 白0 注0  [卷二 · 书二]

--- 处理记录 ---
[附记] 混排段已拆分: 此次印行印光法师文钞三编，乃苏州灵岩山仅...
[复尘空法师书二] 混排段已拆分: 方便劝导，将见贤才蔚起，劫运顿消，天下太...
[复秉初和尚书] 混排段已拆分: 凡一切医不能治之病，均以此一味阿伽陀药而...
[上段执政书] 混排段已拆分: 深仁厚泽，宁惟缁流感戴不忘。一切诸佛，当...
[上段执政书] 连排对照块 3x3 已按位配对: 附复函...
[与高鹤年居士书一] 连排对照块 2x3 已按位配对: 承鹤年居士出示右书，未举年份。推...
[复丁福保居士书五] 混排段已拆分: 中峰国师谓，于此经中，受持乃至四句偈等，...
[复丁福保居士书十二] 混排段已拆分: 敢自诩为千古第一无侣，及谓前人皆悉纰谬乎...
[复丁福保居士书十七] 混排段已拆分: 从兹遍告相识，无不药尽瘾断。因与谈及烟之...
[复许焕文居士书一] 混排段已拆分: 读佛经书，不可依儒者读儒书之态度。今之儒...
[复许焕文居士书二] 连排对照块 2x2 已按位配对: 大师一生，以不要学大派头为主旨，...
[复李尔清居士书] 混排段已拆分: 曹惠川，法名宗惠，惠即仁爱。仁爱之念，常...
[复胡慧彻居士书二] 混排段已拆分: 祈与各莲友说之，庶不至坏乱佛法，疑误众生...
[复陈飞青居士书一] 混排段已拆分: 前由张伯岸居士，言及阁下志切利人，欲开道...
[复谢慧霖居士书三] 混排段已拆分: 即日令友人寄十包，至则代为结缘。待后定价...
[复谢慧霖居士书六] 混排段已拆分: 此系与湖南一居士书中所附，因误寄退回，故...
[复钱晓朕居士书（附来书）] 连排对照块 2x2 已按位配对: 疑问求答...
[复项智源居士书] 混排段已拆分: 无事不须来信。此后数月，均在上海陈家浜太...
[复郑琴樵居士书] 混排段已拆分: 若其人未发心念佛前，曾作诸恶，今既念佛生...
[复隆智居士书] 混排段已拆分: 八九月续文钞出，当为寄几部，此次比昔救苦...
[致沈彬翰居士书] 混排段已拆分: 及一函遍复，临产念观音，并息灾会开示录后...
[复（俞慧郁，陈慧昶）二居士书（附来书）] 混排段已拆分: 总之此种人，意欲以不修持为高上，故作此种...
[复罗鸿涛居士书一] 混排段已拆分: 今既信佛，而不于能得真实利益处致力，而泛...
[复罗鸿涛居士书二] 混排段已拆分: 自智既不能知，又欲善知识得其圆满之答复。...
[复陈士牧居士书一] 混排段已拆分: 此法普利上中下三根。世多以愚夫愚妇能念，...
[复陈士牧居士书三] 混排段已拆分: 彼现不为官，家居静修。宝一师只闻名，未曾...
[复陈士牧居士书六] 混排段已拆分: 大士颂，于阳历五月三十一日，六月五日，两...
[复杨宗慎居士书] 混排段已拆分: 固当长在生死轮回中，永受三途之苦。而欲得...
[复严伯放居士书一] 混排段已拆分: 汝如此粗心大胆，光何敢令汝照应印各种文字...
[复蔡章慎居士书] 混排段已拆分: 不妨取其意而以妙笔发挥之。则其有益于世道...
[复郁连昌昆季书] 混排段已拆分: 以一生西方，即入佛境界。凡心已无，佛慧日...
[复叶沚芬居士书二] 混排段已拆分: 又须以念南无阿弥陀佛，为终日常修无间之功...
[复费师敏居士书] 混排段已拆分: 然须敦伦尽分，闲邪存诚。诸恶莫作，众善奉...
